proteinA,Gene_Symbol,proteinB,Accession
O60304,ZNF500,SARS-CoV-2_nsp6,P0DTC1
P16035,TIMP2,SARS-CoV-2_nsp6,P0DTC1
A2RRL7,TMEM213,SARS-CoV-2_nsp6,P0DTC1
P62328,TMSB4X,SARS-CoV-2_nsp6,P0DTC1
Q9BQC6,MRPL57,SARS-CoV-2_nsp6,P0DTC1
Q969N4,TAAR8,SARS-CoV-2_nsp6,P0DTC1
A0A286YEV6,SCYGR4,SARS-CoV-2_nsp6,P0DTC1
P63302,SELENOW,SARS-CoV-2_nsp6,P0DTC1
P22531,SPRR2E,SARS-CoV-2_nsp6,P0DTC1
A0A0B4J2F0,PIGBOS1,SARS-CoV-2_nsp6,P0DTC1
O00631,SLN,SARS-CoV-2_nsp6,P0DTC1
Q99595,TIMM17A,SARS-CoV-2_nsp6,P0DTC1
A0A0B4J241,TRAV13-1,SARS-CoV-2_nsp6,P0DTC1
A0A539,TRBV4-2,SARS-CoV-2_nsp6,P0DTC1
A0A589,TRBV4-3,SARS-CoV-2_nsp6,P0DTC1
Q6P1N9,TATDN1,SARS-CoV-2_nsp6,P0DTC1
Q5VYX0,RNLS,SARS-CoV-2_nsp6,P0DTC1
Q16613,AANAT,SARS-CoV-2_nsp6,P0DTC1
A0A075B6L2,TRGV11,SARS-CoV-2_nsp6,P0DTC1
O15258,RER1,SARS-CoV-2_nsp6,P0DTC1
P02808,STATH,SARS-CoV-2_nsp6,P0DTC1
Q5FBB7,SGO1,SARS-CoV-2_nsp6,P0DTC1
Q6UWV7,SHISAL2A,SARS-CoV-2_nsp6,P0DTC1
P62263,RPS14,SARS-CoV-2_nsp6,P0DTC1
Q6P4D5,PABIR3,SARS-CoV-2_nsp6,P0DTC1
Q9NQW5,PRDM7,SARS-CoV-2_nsp6,P0DTC1
K7EJ46,SMIM22,SARS-CoV-2_nsp6,P0DTC1
A4D0T7,SMIM30,SARS-CoV-2_nsp6,P0DTC1
A0A286YFK9,SMIM38,SARS-CoV-2_nsp6,P0DTC1
Q4W5P6,SMIM43,SARS-CoV-2_nsp6,P0DTC1
O43805,SSNA1,SARS-CoV-2_nsp6,P0DTC1
Q14CS0,UBXN2B,SARS-CoV-2_nsp6,P0DTC1
P0DMT0,MRLN,SARS-CoV-2_nsp6,P0DTC1
P17017,ZNF14,SARS-CoV-2_nsp6,P0DTC1
Q86TS7,LINC00643,SARS-CoV-2_nsp6,P0DTC1
P05387,RPLP2,SARS-CoV-2_nsp6,P0DTC1
Q8N8V8,TMEM105,SARS-CoV-2_nsp6,P0DTC1
P17024,ZNF20,SARS-CoV-2_nsp6,P0DTC1
P62891,RPL39,SARS-CoV-2_nsp6,P0DTC1
P27449,ATP6V0C,SARS-CoV-2_nsp6,P0DTC1
Q9BZ97,TTTY13,SARS-CoV-2_nsp6,P0DTC1
Q9P2F9,ZNF319,SARS-CoV-2_nsp6,P0DTC1
Q9BU76,MMTAG2,SARS-CoV-2_nsp6,P0DTC1
P62277,RPS13,SARS-CoV-2_nsp6,P0DTC1
