proteinA,Gene_Symbol,proteinB,Accession
Q9UI54,PRO0628,SARS-CoV-2_ORF6,P0DTC6
P67936,TPM4,SARS-CoV-2_ORF6,P0DTC6
Q9UJK0,TSR3,SARS-CoV-2_ORF6,P0DTC6
Q9UIA9,XPO7,SARS-CoV-2_ORF6,P0DTC6
P47914,RPL29,SARS-CoV-2_ORF6,P0DTC6
A6NML5,TMEM212,SARS-CoV-2_ORF6,P0DTC6
O75896,TUSC2,SARS-CoV-2_ORF6,P0DTC6
P62328,TMSB4X,SARS-CoV-2_ORF6,P0DTC6
Q9NUW8,TDP1,SARS-CoV-2_ORF6,P0DTC6
P0CL85,STAG3L3,SARS-CoV-2_ORF6,P0DTC6
P49223,SPINT3,SARS-CoV-2_ORF6,P0DTC6
Q9UNN4,GTF2A1L,SARS-CoV-2_ORF6,P0DTC6
Q8N5D0,WDTC1,SARS-CoV-2_ORF6,P0DTC6
Q15257,PTPA,SARS-CoV-2_ORF6,P0DTC6
Q9NR77,PXMP2,SARS-CoV-2_ORF6,P0DTC6
Q6ZRY4,RBPMS2,SARS-CoV-2_ORF6,P0DTC6
P62306,SNRPF,SARS-CoV-2_ORF6,P0DTC6
Q9BQC6,MRPL57,SARS-CoV-2_ORF6,P0DTC6
Q9P0U3,SENP1,SARS-CoV-2_ORF6,P0DTC6
P60059,SEC61G,SARS-CoV-2_ORF6,P0DTC6
P31213,SRD5A2,SARS-CoV-2_ORF6,P0DTC6
Q86SK9,SCD5,SARS-CoV-2_ORF6,P0DTC6
Q9H9S3,SEC61A2,SARS-CoV-2_ORF6,P0DTC6
P13521,SCG2,SARS-CoV-2_ORF6,P0DTC6
A0A286YEV6,SCYGR4,SARS-CoV-2_ORF6,P0DTC6
Q99590,SCAF11,SARS-CoV-2_ORF6,P0DTC6
A6NKF1,SAC3D1,SARS-CoV-2_ORF6,P0DTC6
P22531,SPRR2E,SARS-CoV-2_ORF6,P0DTC6
P35326,SPRR2A,SARS-CoV-2_ORF6,P0DTC6
Q8WZ94,OR5P3,SARS-CoV-2_ORF6,P0DTC6
A0A0B4J2F0,PIGBOS1,SARS-CoV-2_ORF6,P0DTC6
O14921,RGS13,SARS-CoV-2_ORF6,P0DTC6
P10646,TFPI,SARS-CoV-2_ORF6,P0DTC6
Q96RP3,UCN2,SARS-CoV-2_ORF6,P0DTC6
Q5GAN3,RNASE13,SARS-CoV-2_ORF6,P0DTC6
O00631,SLN,SARS-CoV-2_ORF6,P0DTC6
P25398,RPS12,SARS-CoV-2_ORF6,P0DTC6
P63208,SKP1,SARS-CoV-2_ORF6,P0DTC6
Q9BYW2,SETD2,SARS-CoV-2_ORF6,P0DTC6
P63313,TMSB10,SARS-CoV-2_ORF6,P0DTC6
Q99595,TIMM17A,SARS-CoV-2_ORF6,P0DTC6
P57738,TCTA,SARS-CoV-2_ORF6,P0DTC6
A8MTL3,RNF212B,SARS-CoV-2_ORF6,P0DTC6
Q99932,SPAG8,SARS-CoV-2_ORF6,P0DTC6
P27635,RPL10,SARS-CoV-2_ORF6,P0DTC6
Q5M8T2,SLC35D3,SARS-CoV-2_ORF6,P0DTC6
P0CK97,SLC35E2A,SARS-CoV-2_ORF6,P0DTC6
Q96KT7,SLC35G5,SARS-CoV-2_ORF6,P0DTC6
Q9UNH6,SNX7,SARS-CoV-2_ORF6,P0DTC6
Q96RM1,SPRR2F,SARS-CoV-2_ORF6,P0DTC6
A0A0A0MS06,TRBV23-1,SARS-CoV-2_ORF6,P0DTC6
A0A5B7,TRBV29-1,SARS-CoV-2_ORF6,P0DTC6
Q7RTZ2,USP17L1,SARS-CoV-2_ORF6,P0DTC6
A6NCW0,USP17L3,SARS-CoV-2_ORF6,P0DTC6
Q96PQ6,ZNF317,SARS-CoV-2_ORF6,P0DTC6
Q6XCG6,PP632,SARS-CoV-2_ORF6,P0DTC6
Q15617,OR8G1,SARS-CoV-2_ORF6,P0DTC6
Q6NUR6,RNF216P1,SARS-CoV-2_ORF6,P0DTC6
P46776,RPL27A,SARS-CoV-2_ORF6,P0DTC6
Q9BZS9,PNAS-138,SARS-CoV-2_ORF6,P0DTC6
Q16613,AANAT,SARS-CoV-2_ORF6,P0DTC6
Q9BT56,SPX,SARS-CoV-2_ORF6,P0DTC6
A0A075B6L2,TRGV11,SARS-CoV-2_ORF6,P0DTC6
Q8IUB3,WFDC10B,SARS-CoV-2_ORF6,P0DTC6
P49758,RGS6,SARS-CoV-2_ORF6,P0DTC6
Q9Y617,PSAT1,SARS-CoV-2_ORF6,P0DTC6
Q8N661,TMEM86B,SARS-CoV-2_ORF6,P0DTC6
Q6ZVD7,STOX1,SARS-CoV-2_ORF6,P0DTC6
Q04837,SSBP1,SARS-CoV-2_ORF6,P0DTC6
P02808,STATH,SARS-CoV-2_ORF6,P0DTC6
P04155,TFF1,SARS-CoV-2_ORF6,P0DTC6
Q07343,PDE4B,SARS-CoV-2_ORF6,P0DTC6
Q16654,PDK4,SARS-CoV-2_ORF6,P0DTC6
Q29RF7,PDS5A,SARS-CoV-2_ORF6,P0DTC6
Q9NWW9,PLAAT2,SARS-CoV-2_ORF6,P0DTC6
A0A0A6YYL3,POTEB,SARS-CoV-2_ORF6,P0DTC6
Q9ULI2,RIMKLB,SARS-CoV-2_ORF6,P0DTC6
P82912,MRPS11,SARS-CoV-2_ORF6,P0DTC6
Q9Y3D5,MRPS18C,SARS-CoV-2_ORF6,P0DTC6
O75751,SLC22A3,SARS-CoV-2_ORF6,P0DTC6
Q9NRP4,SDHAF3,SARS-CoV-2_ORF6,P0DTC6
Q8IUQ4,SIAH1,SARS-CoV-2_ORF6,P0DTC6
P21815,IBSP,SARS-CoV-2_ORF6,P0DTC6
Q9NRY2,INIP,SARS-CoV-2_ORF6,P0DTC6
Q9P270,SLAIN2,SARS-CoV-2_ORF6,P0DTC6
P62910,RPL32,SARS-CoV-2_ORF6,P0DTC6
Q6UWV7,SHISAL2A,SARS-CoV-2_ORF6,P0DTC6
Q6KCM7,SLC25A25,SARS-CoV-2_ORF6,P0DTC6
H3BV60,TGFBR3L,SARS-CoV-2_ORF6,P0DTC6
P19623,SRM,SARS-CoV-2_ORF6,P0DTC6
Q9Y5W5,WIF1,SARS-CoV-2_ORF6,P0DTC6
Q9H1J5,WNT8A,SARS-CoV-2_ORF6,P0DTC6
Q06250,WT1-AS,SARS-CoV-2_ORF6,P0DTC6
O76100,OR7A10,SARS-CoV-2_ORF6,P0DTC6
Q6P4D5,PABIR3,SARS-CoV-2_ORF6,P0DTC6
P34995,PTGER1,SARS-CoV-2_ORF6,P0DTC6
Q9UGC6,RGS17,SARS-CoV-2_ORF6,P0DTC6
Q7LG56,RRM2B,SARS-CoV-2_ORF6,P0DTC6
Q9BRV8,SIKE1,SARS-CoV-2_ORF6,P0DTC6
Q8N5G0,SMIM20,SARS-CoV-2_ORF6,P0DTC6
K7EJ46,SMIM22,SARS-CoV-2_ORF6,P0DTC6
A0A286YFK9,SMIM38,SARS-CoV-2_ORF6,P0DTC6
Q5STR5,SMIM40,SARS-CoV-2_ORF6,P0DTC6
Q4W5P6,SMIM43,SARS-CoV-2_ORF6,P0DTC6
P22532,SPRR2D,SARS-CoV-2_ORF6,P0DTC6
Q8IWB6,TEX14,SARS-CoV-2_ORF6,P0DTC6
Q96EI5,TCEAL4,SARS-CoV-2_ORF6,P0DTC6
Q4KMP7,TBC1D10B,SARS-CoV-2_ORF6,P0DTC6
Q15361,TTF1,SARS-CoV-2_ORF6,P0DTC6
P0DMT0,MRLN,SARS-CoV-2_ORF6,P0DTC6
P12883,MYH7,SARS-CoV-2_ORF6,P0DTC6
Q96D59,RNF183,SARS-CoV-2_ORF6,P0DTC6
Q765I0,UTS2B,SARS-CoV-2_ORF6,P0DTC6
Q8N7U7,TPRX1,SARS-CoV-2_ORF6,P0DTC6
Q9Y4A5,TRRAP,SARS-CoV-2_ORF6,P0DTC6
P04275,VWF,SARS-CoV-2_ORF6,P0DTC6
P41221,WNT5A,SARS-CoV-2_ORF6,P0DTC6
Q9Y6I7,WSB1,SARS-CoV-2_ORF6,P0DTC6
Q86TS7,LINC00643,SARS-CoV-2_ORF6,P0DTC6
P60604,UBE2G2,SARS-CoV-2_ORF6,P0DTC6
A6NKH3,RPL37AP8,SARS-CoV-2_ORF6,P0DTC6
Q99816,TSG101,SARS-CoV-2_ORF6,P0DTC6
Q8NA56,TTC29,SARS-CoV-2_ORF6,P0DTC6
P39656,DDOST,SARS-CoV-2_ORF6,P0DTC6
A0A1B0GUJ8,PNMA8C,SARS-CoV-2_ORF6,P0DTC6
P05387,RPLP2,SARS-CoV-2_ORF6,P0DTC6
Q8N8V8,TMEM105,SARS-CoV-2_ORF6,P0DTC6
Q9UDW1,UQCR10,SARS-CoV-2_ORF6,P0DTC6
P18583,SON,SARS-CoV-2_ORF6,P0DTC6
Q15631,TSN,SARS-CoV-2_ORF6,P0DTC6
Q9BXT8,RNF17,SARS-CoV-2_ORF6,P0DTC6
Q15287,RNPS1,SARS-CoV-2_ORF6,P0DTC6
Q9H4K1,RIBC2,SARS-CoV-2_ORF6,P0DTC6
P50914,RPL14,SARS-CoV-2_ORF6,P0DTC6
P40429,RPL13A,SARS-CoV-2_ORF6,P0DTC6
P62891,RPL39,SARS-CoV-2_ORF6,P0DTC6
P27449,ATP6V0C,SARS-CoV-2_ORF6,P0DTC6
Q495X7,TRIM60,SARS-CoV-2_ORF6,P0DTC6
Q9BZ97,TTTY13,SARS-CoV-2_ORF6,P0DTC6
O43895,XPNPEP2,SARS-CoV-2_ORF6,P0DTC6
Q8IVN8,SBSPON,SARS-CoV-2_ORF6,P0DTC6
P35321,SPRR1A,SARS-CoV-2_ORF6,P0DTC6
Q96QS1,TSPAN32,SARS-CoV-2_ORF6,P0DTC6
Q9H0D6,XRN2,SARS-CoV-2_ORF6,P0DTC6
Q9C0E2,XPO4,SARS-CoV-2_ORF6,P0DTC6
Q08AG7,MZT1,SARS-CoV-2_ORF6,P0DTC6
P29728,OAS2,SARS-CoV-2_ORF6,P0DTC6
Q9BVW5,TIPIN,SARS-CoV-2_ORF6,P0DTC6
A0A087WTH1,TMEM265,SARS-CoV-2_ORF6,P0DTC6
P35030,PRSS3,SARS-CoV-2_ORF6,P0DTC6
O15231,ZNF185,SARS-CoV-2_ORF6,P0DTC6
Q9H8U3,ZFAND3,SARS-CoV-2_ORF6,P0DTC6
Q9NQX6,ZNF331,SARS-CoV-2_ORF6,P0DTC6
Q9Y5K5,UCHL5,SARS-CoV-2_ORF6,P0DTC6
Q96NR7,WWC2-AS2,SARS-CoV-2_ORF6,P0DTC6
Q5EBN2,TRIM61,SARS-CoV-2_ORF6,P0DTC6
Q96LB4,ATP6V1G3,SARS-CoV-2_ORF6,P0DTC6
Q641Q2,WASHC2A,SARS-CoV-2_ORF6,P0DTC6
Q6FIF0,ZFAND6,SARS-CoV-2_ORF6,P0DTC6
Q5T742,ZNF22-AS1,SARS-CoV-2_ORF6,P0DTC6
Q8WW36,ZCCHC13,SARS-CoV-2_ORF6,P0DTC6
Q96GR4,ZDHHC12,SARS-CoV-2_ORF6,P0DTC6
P67809,YBX1,SARS-CoV-2_ORF6,P0DTC6
Q9NY46,SCN3A,SARS-CoV-2_ORF6,P0DTC6
O95379,TNFAIP8,SARS-CoV-2_ORF6,P0DTC6
Q9Y5U5,TNFRSF18,SARS-CoV-2_ORF6,P0DTC6
P57088,TMEM33,SARS-CoV-2_ORF6,P0DTC6
P17010,ZFX,SARS-CoV-2_ORF6,P0DTC6
P09430,TNP1,SARS-CoV-2_ORF6,P0DTC6
O60279,SUSD5,SARS-CoV-2_ORF6,P0DTC6
Q8WUU8,TMEM174,SARS-CoV-2_ORF6,P0DTC6
Q8IX04,UEVLD,SARS-CoV-2_ORF6,P0DTC6
A6NJL1,ZSCAN5B,SARS-CoV-2_ORF6,P0DTC6
Q6P9F5,TRIM40,SARS-CoV-2_ORF6,P0DTC6
Q01081,U2AF1,SARS-CoV-2_ORF6,P0DTC6
P49767,VEGFC,SARS-CoV-2_ORF6,P0DTC6
Q8NC26,ZNF114,SARS-CoV-2_ORF6,P0DTC6
Q9NQZ6,ZC4H2,SARS-CoV-2_ORF6,P0DTC6
Q96NS1,YPEL4,SARS-CoV-2_ORF6,P0DTC6
Q9Y5V0,ZNF706,SARS-CoV-2_ORF6,P0DTC6
Q96MU7,YTHDC1,SARS-CoV-2_ORF6,P0DTC6
P61009,SPCS3,SARS-CoV-2_ORF6,P0DTC6
Q9H668,STN1,SARS-CoV-2_ORF6,P0DTC6
O43615,TIMM44,SARS-CoV-2_ORF6,P0DTC6
P35325,SPRR2B,SARS-CoV-2_ORF6,P0DTC6
P22528,SPRR1B,SARS-CoV-2_ORF6,P0DTC6
P35625,TIMP3,SARS-CoV-2_ORF6,P0DTC6
Q8NHM4,PRSS3P2,SARS-CoV-2_ORF6,P0DTC6
Q6NXR4,TTI2,SARS-CoV-2_ORF6,P0DTC6
Q9UKR8,TSPAN16,SARS-CoV-2_ORF6,P0DTC6
Q969T9,WBP2,SARS-CoV-2_ORF6,P0DTC6
Q9NWH2,TMEM242,SARS-CoV-2_ORF6,P0DTC6
Q2M3C6,TMEM266,SARS-CoV-2_ORF6,P0DTC6
Q8N5P1,ZC3H8,SARS-CoV-2_ORF6,P0DTC6
Q8N9X3,LINC01356,SARS-CoV-2_ORF6,P0DTC6
Q96AP4,ZUP1,SARS-CoV-2_ORF6,P0DTC6
O60568,PLOD3,SARS-CoV-2_ORF6,P0DTC6
P0C7H9,USP17L7,SARS-CoV-2_ORF6,P0DTC6
Q9Y4E1,WASHC2C,SARS-CoV-2_ORF6,P0DTC6
Q13296,SCGB2A2,SARS-CoV-2_ORF6,P0DTC6
P23327,HRC,SARS-CoV-2_ORF6,P0DTC6
Q9H379,PRO3102,SARS-CoV-2_ORF6,P0DTC6
