proteinA,Gene_Symbol,proteinB,Accession
Q9UI54,PRO0628,SARS-CoV-2_nsp7,P0DTC1
Q9UHR6,ZNHIT2,SARS-CoV-2_nsp7,P0DTC1
Q9UIA9,XPO7,SARS-CoV-2_nsp7,P0DTC1
P62328,TMSB4X,SARS-CoV-2_nsp7,P0DTC1
Q96BZ9,TBC1D20,SARS-CoV-2_nsp7,P0DTC1
Q6ZRY4,RBPMS2,SARS-CoV-2_nsp7,P0DTC1
P62306,SNRPF,SARS-CoV-2_nsp7,P0DTC1
Q9BQC6,MRPL57,SARS-CoV-2_nsp7,P0DTC1
P60059,SEC61G,SARS-CoV-2_nsp7,P0DTC1
A0A286YEV6,SCYGR4,SARS-CoV-2_nsp7,P0DTC1
A0A0B4J2F0,PIGBOS1,SARS-CoV-2_nsp7,P0DTC1
O14921,RGS13,SARS-CoV-2_nsp7,P0DTC1
P10646,TFPI,SARS-CoV-2_nsp7,P0DTC1
O00631,SLN,SARS-CoV-2_nsp7,P0DTC1
P57738,TCTA,SARS-CoV-2_nsp7,P0DTC1
P0CK97,SLC35E2A,SARS-CoV-2_nsp7,P0DTC1
A0A0B4J271,TRAV12-3,SARS-CoV-2_nsp7,P0DTC1
A0A589,TRBV4-3,SARS-CoV-2_nsp7,P0DTC1
Q86VZ2,WDR5B,SARS-CoV-2_nsp7,P0DTC1
Q6NUR6,RNF216P1,SARS-CoV-2_nsp7,P0DTC1
P46776,RPL27A,SARS-CoV-2_nsp7,P0DTC1
O14604,TMSB4Y,SARS-CoV-2_nsp7,P0DTC1
Q9BZS9,PNAS-138,SARS-CoV-2_nsp7,P0DTC1
Q5VYX0,RNLS,SARS-CoV-2_nsp7,P0DTC1
Q16613,AANAT,SARS-CoV-2_nsp7,P0DTC1
Q9BT56,SPX,SARS-CoV-2_nsp7,P0DTC1
A0A075B6L2,TRGV11,SARS-CoV-2_nsp7,P0DTC1
O95755,RAB36,SARS-CoV-2_nsp7,P0DTC1
P02808,STATH,SARS-CoV-2_nsp7,P0DTC1
Q9ULI2,RIMKLB,SARS-CoV-2_nsp7,P0DTC1
Q96ER3,SAAL1,SARS-CoV-2_nsp7,P0DTC1
Q9NRP4,SDHAF3,SARS-CoV-2_nsp7,P0DTC1
Q6UWV7,SHISAL2A,SARS-CoV-2_nsp7,P0DTC1
Q6P4D5,PABIR3,SARS-CoV-2_nsp7,P0DTC1
Q9UGC6,RGS17,SARS-CoV-2_nsp7,P0DTC1
K7EJ46,SMIM22,SARS-CoV-2_nsp7,P0DTC1
A4D0T7,SMIM30,SARS-CoV-2_nsp7,P0DTC1
A0A286YFK9,SMIM38,SARS-CoV-2_nsp7,P0DTC1
O43805,SSNA1,SARS-CoV-2_nsp7,P0DTC1
Q14CS0,UBXN2B,SARS-CoV-2_nsp7,P0DTC1
P0DMT0,MRLN,SARS-CoV-2_nsp7,P0DTC1
Q765I0,UTS2B,SARS-CoV-2_nsp7,P0DTC1
P05387,RPLP2,SARS-CoV-2_nsp7,P0DTC1
Q8N8V8,TMEM105,SARS-CoV-2_nsp7,P0DTC1
P62891,RPL39,SARS-CoV-2_nsp7,P0DTC1
P27449,ATP6V0C,SARS-CoV-2_nsp7,P0DTC1
P35321,SPRR1A,SARS-CoV-2_nsp7,P0DTC1
Q9P2F9,ZNF319,SARS-CoV-2_nsp7,P0DTC1
Q08AG7,MZT1,SARS-CoV-2_nsp7,P0DTC1
P29728,OAS2,SARS-CoV-2_nsp7,P0DTC1
Q6FIF0,ZFAND6,SARS-CoV-2_nsp7,P0DTC1
Q8WW36,ZCCHC13,SARS-CoV-2_nsp7,P0DTC1
P67809,YBX1,SARS-CoV-2_nsp7,P0DTC1
Q9Y5U5,TNFRSF18,SARS-CoV-2_nsp7,P0DTC1
P09430,TNP1,SARS-CoV-2_nsp7,P0DTC1
Q6P9F5,TRIM40,SARS-CoV-2_nsp7,P0DTC1
Q6UXP9,UNQ9370/PRO34162,SARS-CoV-2_nsp7,P0DTC1
O96006,ZBED1,SARS-CoV-2_nsp7,P0DTC1
Q01081,U2AF1,SARS-CoV-2_nsp7,P0DTC1
Q9UNH7,SNX6,SARS-CoV-2_nsp7,P0DTC1
Q8NHM4,PRSS3P2,SARS-CoV-2_nsp7,P0DTC1
Q9NWH2,TMEM242,SARS-CoV-2_nsp7,P0DTC1
Q96B49,TOMM6,SARS-CoV-2_nsp7,P0DTC1
Q8N9X3,LINC01356,SARS-CoV-2_nsp7,P0DTC1
P0C7H9,USP17L7,SARS-CoV-2_nsp7,P0DTC1
Q13296,SCGB2A2,SARS-CoV-2_nsp7,P0DTC1
Q9H379,PRO3102,SARS-CoV-2_nsp7,P0DTC1
Q8NEX5,WFDC9,SARS-CoV-2_nsp7,P0DTC1
Q9C0B7,TANGO6,SARS-CoV-2_nsp7,P0DTC1
Q8IUB2,WFDC3,SARS-CoV-2_nsp7,P0DTC1
Q8WWY7,WFDC12,SARS-CoV-2_nsp7,P0DTC1
Q96B42,TMEM18,SARS-CoV-2_nsp7,P0DTC1
Q14508,WFDC2,SARS-CoV-2_nsp7,P0DTC1
Q96B54,ZNF428,SARS-CoV-2_nsp7,P0DTC1
Q13362,PPP2R5C,SARS-CoV-2_nsp7,P0DTC1
P30153,PPP2R1A,SARS-CoV-2_nsp7,P0DTC1
P16671,CD36,SARS-CoV-2_nsp7,P0DTC1
Q6ZST2,COL25A1-DT,SARS-CoV-2_nsp7,P0DTC1
Q13072,BAGE,SARS-CoV-2_nsp7,P0DTC1
Q13939,CCIN,SARS-CoV-2_nsp7,P0DTC1
Q14790,CASP8,SARS-CoV-2_nsp7,P0DTC1
Q30KR1,DEFB109B,SARS-CoV-2_nsp7,P0DTC1
Q30KQ6,DEFB114,SARS-CoV-2_nsp7,P0DTC1
Q5J5C9,DEFB121,SARS-CoV-2_nsp7,P0DTC1
Q8N688,DEFB123,SARS-CoV-2_nsp7,P0DTC1
Q5SZD1,C6orf141,SARS-CoV-2_nsp7,P0DTC1
Q7Z4U5,C6orf201,SARS-CoV-2_nsp7,P0DTC1
Q5SY13,COL5A1-AS1,SARS-CoV-2_nsp7,P0DTC1
Q8N9R0,LINC00304,SARS-CoV-2_nsp7,P0DTC1
Q15847,ADIRF,SARS-CoV-2_nsp7,P0DTC1
Q92888,ARHGEF1,SARS-CoV-2_nsp7,P0DTC1
P18859,ATP5PF,SARS-CoV-2_nsp7,P0DTC1
Q9BU40,CHRDL1,SARS-CoV-2_nsp7,P0DTC1
Q9NWS6,FAM118A,SARS-CoV-2_nsp7,P0DTC1
P16104,H2AX,SARS-CoV-2_nsp7,P0DTC1
Q9BYR5,KRTAP4-2,SARS-CoV-2_nsp7,P0DTC1
Q9BYR0,KRTAP4-7,SARS-CoV-2_nsp7,P0DTC1
P59990,KRTAP12-1,SARS-CoV-2_nsp7,P0DTC1
Q9BYR8,KRTAP3-1,SARS-CoV-2_nsp7,P0DTC1
Q9BYR3,KRTAP4-4,SARS-CoV-2_nsp7,P0DTC1
Q9BYR7,KRTAP3-2,SARS-CoV-2_nsp7,P0DTC1
O75690,KRTAP5-8,SARS-CoV-2_nsp7,P0DTC1
P06315,IGKV5-2,SARS-CoV-2_nsp7,P0DTC1
Q6XD76,ASCL4,SARS-CoV-2_nsp7,P0DTC1
O15551,CLDN3,SARS-CoV-2_nsp7,P0DTC1
P56747,CLDN6,SARS-CoV-2_nsp7,P0DTC1
Q075Z2,BSPH1,SARS-CoV-2_nsp7,P0DTC1
Q5XLA6,CARD17,SARS-CoV-2_nsp7,P0DTC1
Q6UWT4,C5orf46,SARS-CoV-2_nsp7,P0DTC1
Q0D2K5,EGFEM1P,SARS-CoV-2_nsp7,P0DTC1
O95786,DDX58,SARS-CoV-2_nsp7,P0DTC1
P52797,EFNA3,SARS-CoV-2_nsp7,P0DTC1
Q6UWT2,ENHO,SARS-CoV-2_nsp7,P0DTC1
Q92616,GCN1,SARS-CoV-2_nsp7,P0DTC1
Q16666,IFI16,SARS-CoV-2_nsp7,P0DTC1
P17213,BPI,SARS-CoV-2_nsp7,P0DTC1
Q6NSX1,CCDC70,SARS-CoV-2_nsp7,P0DTC1
A6NGG3,C9orf92,SARS-CoV-2_nsp7,P0DTC1
Q6PB30,CSAG1,SARS-CoV-2_nsp7,P0DTC1
P0DP74,DEFB130A,SARS-CoV-2_nsp7,P0DTC1
P58549,FXYD7,SARS-CoV-2_nsp7,P0DTC1
Q9UBT3,DKK4,SARS-CoV-2_nsp7,P0DTC1
O14521,SDHD,SARS-CoV-2_nsp7,P0DTC1
Q9Y2J2,EPB41L3,SARS-CoV-2_nsp7,P0DTC1
Q9NWT8,AURKAIP1,SARS-CoV-2_nsp7,P0DTC1
Q9NRJ3,CCL28,SARS-CoV-2_nsp7,P0DTC1
P35670,ATP7B,SARS-CoV-2_nsp7,P0DTC1
Q9BUF7,CRB3,SARS-CoV-2_nsp7,P0DTC1
O43866,CD5L,SARS-CoV-2_nsp7,P0DTC1
Q5U649,C12orf60,SARS-CoV-2_nsp7,P0DTC1
Q4LDR2,CTXN3,SARS-CoV-2_nsp7,P0DTC1
A6NMY6,ANXA2P2,SARS-CoV-2_nsp7,P0DTC1
Q7Z4L0,COX8C,SARS-CoV-2_nsp7,P0DTC1
Q86Y28,BAGE4,SARS-CoV-2_nsp7,P0DTC1
Q86Y27,BAGE5,SARS-CoV-2_nsp7,P0DTC1
Q8IY42,C4orf19,SARS-CoV-2_nsp7,P0DTC1
P0DN84,STRIT1,SARS-CoV-2_nsp7,P0DTC1
P59036,LINC00310,SARS-CoV-2_nsp7,P0DTC1
P0DP73,DEFB130B,SARS-CoV-2_nsp7,P0DTC1
Q14738,PPP2R5D,SARS-CoV-2_nsp7,P0DTC1
P30154,PPP2R1B,SARS-CoV-2_nsp7,P0DTC1
P30838,ALDH3A1,SARS-CoV-2_nsp7,P0DTC1
Q9H251,CDH23,SARS-CoV-2_nsp7,P0DTC1
Q8TCD1,C18orf32,SARS-CoV-2_nsp7,P0DTC1
A0A1B0GTU2,CTXND1,SARS-CoV-2_nsp7,P0DTC1
P02778,CXCL10,SARS-CoV-2_nsp7,P0DTC1
P01040,CSTA,SARS-CoV-2_nsp7,P0DTC1
Q9BTM1,H2AJ,SARS-CoV-2_nsp7,P0DTC1
P28799,GRN,SARS-CoV-2_nsp7,P0DTC1
Q9Y2D5,AKAP2,SARS-CoV-2_nsp7,P0DTC1
P0DN86,CGB3,SARS-CoV-2_nsp7,P0DTC1
Q9BUK0,CHCHD7,SARS-CoV-2_nsp7,P0DTC1
Q9H223,EHD4,SARS-CoV-2_nsp7,P0DTC1
Q16568,CARTPT,SARS-CoV-2_nsp7,P0DTC1
Q5YKI7,GGNBP1,SARS-CoV-2_nsp7,P0DTC1
Q9NZW4,DSPP,SARS-CoV-2_nsp7,P0DTC1
Q8WWA0,ITLN1,SARS-CoV-2_nsp7,P0DTC1
Q93077,H2AC6,SARS-CoV-2_nsp7,P0DTC1
Q99878,H2AC14,SARS-CoV-2_nsp7,P0DTC1
Q16777,H2AC20,SARS-CoV-2_nsp7,P0DTC1
Q9BS18,ANAPC13,SARS-CoV-2_nsp7,P0DTC1
Q8N6S5,ARL6IP6,SARS-CoV-2_nsp7,P0DTC1
Q9NSA3,CTNNBIP1,SARS-CoV-2_nsp7,P0DTC1
Q9UBB4,ATXN10,SARS-CoV-2_nsp7,P0DTC1
Q9Y6E2,BZW2,SARS-CoV-2_nsp7,P0DTC1
O00472,ELL2,SARS-CoV-2_nsp7,P0DTC1
P62952,BLCAP,SARS-CoV-2_nsp7,P0DTC1
Q96NS8,CLUHP3,SARS-CoV-2_nsp7,P0DTC1
O75712,GJB3,SARS-CoV-2_nsp7,P0DTC1
Q9BV81,EMC6,SARS-CoV-2_nsp7,P0DTC1
P56378,ATP5MJ,SARS-CoV-2_nsp7,P0DTC1
O43918,AIRE,SARS-CoV-2_nsp7,P0DTC1
P02647,APOA1,SARS-CoV-2_nsp7,P0DTC1
Q156A1,ATXN8,SARS-CoV-2_nsp7,P0DTC1
Q02153,GUCY1B1,SARS-CoV-2_nsp7,P0DTC1
P08758,ANXA5,SARS-CoV-2_nsp7,P0DTC1
Q9Y3E0,GOLT1B,SARS-CoV-2_nsp7,P0DTC1
Q9NQT4,EXOSC5,SARS-CoV-2_nsp7,P0DTC1
P61328,FGF12,SARS-CoV-2_nsp7,P0DTC1
B3EWG5,FAM25C,SARS-CoV-2_nsp7,P0DTC1
P20151,KLK2,SARS-CoV-2_nsp7,P0DTC1
Q5T7P2,LCE1A,SARS-CoV-2_nsp7,P0DTC1
Q5T751,LCE1C,SARS-CoV-2_nsp7,P0DTC1
Q5TA79,LCE2A,SARS-CoV-2_nsp7,P0DTC1
Q5T754,LCE1F,SARS-CoV-2_nsp7,P0DTC1
Q5TA81,LCE2C,SARS-CoV-2_nsp7,P0DTC1
