proteinA,Gene_Symbol,proteinB,Accession
P63244,RACK1,SARS-CoV-2_nsp10,P0DTC1
Q05086,UBE3A,SARS-CoV-2_nsp10,P0DTC1
Q9NYL2,MAP3K20,SARS-CoV-2_nsp10,P0DTC1
Q12802,AKAP13,SARS-CoV-2_nsp10,P0DTC1
Q96NG5,ZNF558,SARS-CoV-2_nsp10,P0DTC1
Q08ER8,ZNF543,SARS-CoV-2_nsp10,P0DTC1
Q9GZX5,ZNF350,SARS-CoV-2_nsp10,P0DTC1
Q9GZP7,VN1R1,SARS-CoV-2_nsp10,P0DTC1
Q3MJ13,WDR72,SARS-CoV-2_nsp10,P0DTC1
Q9NY84,VNN3,SARS-CoV-2_nsp10,P0DTC1
Q9BRH9,ZNF251,SARS-CoV-2_nsp10,P0DTC1
Q7Z3T8,ZFYVE16,SARS-CoV-2_nsp10,P0DTC1
Q9UI54,PRO0628,SARS-CoV-2_nsp10,P0DTC1
Q68DK2,ZFYVE26,SARS-CoV-2_nsp10,P0DTC1
Q32M78,ZNF699,SARS-CoV-2_nsp10,P0DTC1
Q5BKZ1,ZNF326,SARS-CoV-2_nsp10,P0DTC1
Q9H0M5,ZNF700,SARS-CoV-2_nsp10,P0DTC1
A8MVS1,ZNF705F,SARS-CoV-2_nsp10,P0DTC1
Q96MR9,ZNF560,SARS-CoV-2_nsp10,P0DTC1
Q8N184,ZNF567,SARS-CoV-2_nsp10,P0DTC1
Q9ULM3,YEATS2,SARS-CoV-2_nsp10,P0DTC1
Q8WTX9,ZDHHC1,SARS-CoV-2_nsp10,P0DTC1
O15156,ZBTB7B,SARS-CoV-2_nsp10,P0DTC1
Q96C55,ZNF524,SARS-CoV-2_nsp10,P0DTC1
Q96JG9,ZNF469,SARS-CoV-2_nsp10,P0DTC1
O14980,XPO1,SARS-CoV-2_nsp10,P0DTC1
Q5D1E8,ZC3H12A,SARS-CoV-2_nsp10,P0DTC1
Q8TBZ8,ZNF564,SARS-CoV-2_nsp10,P0DTC1
O60304,ZNF500,SARS-CoV-2_nsp10,P0DTC1
Q07157,TJP1,SARS-CoV-2_nsp10,P0DTC1
Q6NSZ9,ZSCAN25,SARS-CoV-2_nsp10,P0DTC1
Q9UHR6,ZNHIT2,SARS-CoV-2_nsp10,P0DTC1
Q86W11,ZSCAN30,SARS-CoV-2_nsp10,P0DTC1
Q9NX65,ZSCAN32,SARS-CoV-2_nsp10,P0DTC1
Q9UL52,TMPRSS11E,SARS-CoV-2_nsp10,P0DTC1
Q99973,TEP1,SARS-CoV-2_nsp10,P0DTC1
P67936,TPM4,SARS-CoV-2_nsp10,P0DTC1
P16035,TIMP2,SARS-CoV-2_nsp10,P0DTC1
A0A0C4DH27,TRGV8,SARS-CoV-2_nsp10,P0DTC1
Q9BZD6,PRRG4,SARS-CoV-2_nsp10,P0DTC1
Q8TD43,TRPM4,SARS-CoV-2_nsp10,P0DTC1
Q9HCX4,TRPC7,SARS-CoV-2_nsp10,P0DTC1
Q16831,UPP1,SARS-CoV-2_nsp10,P0DTC1
Q9UJK0,TSR3,SARS-CoV-2_nsp10,P0DTC1
Q9BZX2,UCK2,SARS-CoV-2_nsp10,P0DTC1
Q7Z7E8,UBE2Q1,SARS-CoV-2_nsp10,P0DTC1
P55060,CSE1L,SARS-CoV-2_nsp10,P0DTC1
Q8WVZ1,ZDHHC19,SARS-CoV-2_nsp10,P0DTC1
P0CJ78,ZNF865,SARS-CoV-2_nsp10,P0DTC1
A0A1B0GTU1,ZC3H11B,SARS-CoV-2_nsp10,P0DTC1
Q96S55,WRNIP1,SARS-CoV-2_nsp10,P0DTC1
Q9NYH9,UTP6,SARS-CoV-2_nsp10,P0DTC1
Q9H0M0,WWP1,SARS-CoV-2_nsp10,P0DTC1
Q8N0Z9,VSIG10,SARS-CoV-2_nsp10,P0DTC1
Q7Z5U6,WDR53,SARS-CoV-2_nsp10,P0DTC1
Q9UIA9,XPO7,SARS-CoV-2_nsp10,P0DTC1
Q96QU8,XPO6,SARS-CoV-2_nsp10,P0DTC1
Q8NEZ3,WDR19,SARS-CoV-2_nsp10,P0DTC1
Q9NQH7,XPNPEP3,SARS-CoV-2_nsp10,P0DTC1
Q7L3S4,ZNF771,SARS-CoV-2_nsp10,P0DTC1
Q68EA5,ZNF57,SARS-CoV-2_nsp10,P0DTC1
Q9NUE0,ZDHHC18,SARS-CoV-2_nsp10,P0DTC1
Q96I27,ZNF625,SARS-CoV-2_nsp10,P0DTC1
P25105,PTAFR,SARS-CoV-2_nsp10,P0DTC1
P47914,RPL29,SARS-CoV-2_nsp10,P0DTC1
P56180,TPTE,SARS-CoV-2_nsp10,P0DTC1
Q96B77,TMEM186,SARS-CoV-2_nsp10,P0DTC1
Q9NXH9,TRMT1,SARS-CoV-2_nsp10,P0DTC1
Q9UPQ4,TRIM35,SARS-CoV-2_nsp10,P0DTC1
Q5T0D9,TPRG1L,SARS-CoV-2_nsp10,P0DTC1
A2RRL7,TMEM213,SARS-CoV-2_nsp10,P0DTC1
Q02223,TNFRSF17,SARS-CoV-2_nsp10,P0DTC1
Q9Y4G6,TLN2,SARS-CoV-2_nsp10,P0DTC1
O75896,TUSC2,SARS-CoV-2_nsp10,P0DTC1
P62328,TMSB4X,SARS-CoV-2_nsp10,P0DTC1
Q9NUW8,TDP1,SARS-CoV-2_nsp10,P0DTC1
Q9UMX0,UBQLN1,SARS-CoV-2_nsp10,P0DTC1
Q9BRX9,WDR83,SARS-CoV-2_nsp10,P0DTC1
Q8N393,ZNF786,SARS-CoV-2_nsp10,P0DTC1
Q9H0M4,ZCWPW1,SARS-CoV-2_nsp10,P0DTC1
